threshold,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,false_alarm_rate,precision,negative_predictive_value,alert_rate,balanced_accuracy,youden_j
0.29985982179641724,115,569,0,84,1.0,0.12863705972434916,0.8713629402756509,0.16812865497076024,1.0,0.890625,0.5643185298621746,0.12863705972434913
0.30000150203704834,115,568,0,85,1.0,0.13016845329249618,0.8698315467075038,0.1683748169838946,1.0,0.8893229166666666,0.5650842266462481,0.13016845329249627
0.30167582631111145,115,567,0,86,1.0,0.13169984686064318,0.8683001531393568,0.16862170087976538,1.0,0.8880208333333334,0.5658499234303216,0.13169984686064318
0.3016917109489441,115,566,0,87,1.0,0.1332312404287902,0.8667687595712098,0.16886930983847284,1.0,0.88671875,0.566615620214395,0.1332312404287901
0.3022236227989197,115,565,0,88,1.0,0.13476263399693722,0.8652373660030628,0.16911764705882354,1.0,0.8854166666666666,0.5673813169984686,0.13476263399693722
0.3028334975242615,115,564,0,89,1.0,0.1362940275650842,0.8637059724349158,0.16936671575846834,1.0,0.8841145833333334,0.5681470137825421,0.13629402756508413
0.30312684178352356,115,563,0,90,1.0,0.13782542113323124,0.8621745788667687,0.1696165191740413,1.0,0.8828125,0.5689127105666156,0.13782542113323126
0.30360493063926697,115,562,0,91,1.0,0.13935681470137826,0.8606431852986217,0.16986706056129985,1.0,0.8815104166666666,0.5696784073506891,0.13935681470137817
0.3056197762489319,115,561,0,92,1.0,0.14088820826952528,0.8591117917304747,0.17011834319526628,1.0,0.8802083333333334,0.5704441041347627,0.1408882082695253
0.3056805431842804,115,560,0,93,1.0,0.14241960183767227,0.8575803981623277,0.17037037037037037,1.0,0.87890625,0.5712098009188361,0.14241960183767222
0.30575186014175415,115,559,0,94,1.0,0.1439509954058193,0.8560490045941807,0.17062314540059348,1.0,0.8776041666666666,0.5719754977029097,0.14395099540581935
0.30579113960266113,115,558,0,95,1.0,0.14548238897396631,0.8545176110260337,0.17087667161961367,1.0,0.8763020833333334,0.5727411944869831,0.14548238897396626
0.3066886365413666,115,557,0,96,1.0,0.14701378254211334,0.8529862174578867,0.17113095238095238,1.0,0.875,0.5735068912710567,0.1470137825421134
